,Lyrics
56,"Give me a minute to get out of my mind
To help me remember what the feeling was like
When we were all alone, watchin' late night TV, your hand in mine
Oh, what I wouldn't do to get back to you


'Cause every time we touch, it cuts the deepest
But I don't wanna fall if it's not in love
Oh, you stop my heart, like you're in my blood
You were, you were
To die, to die for
All I ever needed
You're the kind of high that keeps me wantin' more
Oh, I can't let go, I'm forever yours
You were, you were
To die, to die for


You were, you were
To die, to die for
You were, you were
To die, to die for


Trust me, there's so much more that I need to say 

Oh, I can't let another moment escape 

To summer nights drinking wine, 'til we can't find our feet, you'd lean on me 

Oh, what I wouldn't do to get back to you


'Cause every time we touch, it cuts the deepest
But I don't wanna fall if it's not in love
Oh, you stop my heart, like you're in my blood
You are, you are
To die, to die for
All I ever needed
You're the kind of high that keeps me wantin' more
Oh, I can't let go, I'm forever yours
You were, you were
To die, to die for


You were, you were
To die, to die for
Every time we touch
To die for
You were, you were
To die for
To die, to die for
All I ever needed
You're the kind of high that keeps me wantin' more
Oh, I can't let go, I'm forever yours
You were, you were
To die, to die for


All I ever needed
You're the kind of high that keeps me wantin' more
Oh, I can't let go, I'm forever yours
You are, you are
To die, to die for"
57,"



Eyes so bright in this sunset town
Calls you in just to spit you out
Heart black and blue
Another sunset down


Don't have to talk about it now
And if you need me, I'm around


Oh, I don't know what you're going through
You don't have to walk alone, I'll follow you
All the highs and lows, I'll ride them with you
You don't have to walk alone, I'll follow you 



You don't have to walk alone, I'll follow you 



Blurry nights in a motel room
Morning light always comes too soon
You do your time
And I'll be by your side


We got this life to work it out
And if you need me, I'm around


Oh, I don't know what you're going through
You don't have to walk alone, I'll follow you
All the highs and lows, I'll ride them with you
You don't have to walk alone, I'll follow you 



Follow you, follow you, follow you, follow you
Follow you, follow you, follow you, follow you
Follow you, follow you, follow you, follow you
You don't have to walk alone, I'll follow you 



You don't have to walk alone, I'll follow you 
"
58,"You were my closest friend
My strength when days gone mad
But I spent my time in shallow sheets
I should've seen your hand
I didn't see the signs
I was blinded by the lights
And lost where I belong


I thought that we'd grow old
Give kids our bad advice
Now I'm alone
You went and left me with these sleepless nights
You took my warmth and soul, left me with doubt and cold
Is this where I belong?


Gone are the days of young
Better run for cover
There's no one here to savе you from yourself
When you discover it's hard
You don't know how to carry on
Gonе are the days of young
Better run for cover
When everything you love is lying six feet under, I know
You don't know how, but you carry on


These days are longer now
My nights spent wondering why
And I get mad inside
Did you fight back or even try?
You didn't see the signs
Were blinded by the lights
You lost where you came from


We're not so different, no
We grew up wanting more
But I found it easy 'cause I left my morals at the door
You took an honest heart
And watched it fall apart
You lost before you started


Gone are the days of young
Better run for cover
There's no one here to save you from yourself
When you'll discover it's hard
You don't know how to carry on
Gone are the days of young
Better run for cover
When everything you love is lying six feet under, I know
You don't know how, but you carry on 



Gone are the days of young
Better run for cover
There's no one here to save you from yourself
When you'll discover it's hard
You don't know how to carry on"
59,"You're saying it's hopeless, that I should hope less
Heaven can help us, well maybe ""she"" might
You say it's beyond us, what is beyond us?
Let's see and decide
We've been meteoric, even before this
Burns half as long when it's twice as bright
So if it's beyond us, then it's beyond us
Lets see and decide


And I will still be here, stargazing
I'll still look up, look up
Look up for love
I will still be here, stargazing
I'll still look up, look up
Look up for love
Look up, look up
Look up for love


I'm trying to save us, you don't wanna save us
You blame human nature, and say it's unkind
Let's make up our own minds, we've got our whole lives
Let's see and decide, decide


And I will still be here, stargazing
I'll still look up, look up
Look up for love
Stars don't disappear, they keep blazing
Even when the night is over
That's how I find the light
That's how I find the light
Stargazing
And I will still be here, stargazing
I'll still look up, look up
Look up for love
Stars don't disappear, they keep blazing
Even when the night is over
That's how I find the light"
60,"Was it something that I said? I tried my best, yeah, all for you
I can see it in your eyes, the way you lie, I'm such a fool


One too many times, I'm the one to take the burden
Oh, you know I've tried, but got nothing, got nothing


So if I let down my guard, if I rip out my scars
And I show you my heart, am I beautiful?
If I tell you my secrets, show my dark and my demons
Tell me, what do you see? Am I beautiful?


Am I beautiful?
Am I beautiful?
If I tell you my secrets, show my dark and my demons
Tell me, what do you see? Am I beautiful?
Am I beautiful?


They say the best way that you heal is to move on to someone new
Then why does every single road that I take lead back to you?


One too many times, I'm the one to take the burden
Oh, you know I've tried, but got nothing, I got nothing


So if I let down my guard, if I rip out my scars
And I show you my heart, am I beautiful?
If I tell you my secrets, show my dark and my demons
Tell me, what do you see? Am I beautiful?


Am I beautiful?
Am I beautiful?
Am I beautiful?


So if I let down my guard, if I rip out my scars
And I show you my heart, am I beautiful?
If I tell you my secrets, show my dark and my demons
Tell me, what do you see? Am I beautiful?"
61,"Sittin' here eatin' my heart out waitin'
Waitin' for some lover to call
Dialed about a thousand numbers lately
Almost rang the phone off the wall


Lookin' for some hot stuff baby this evenin'
I need some hot stuff baby tonight
I want some hot stuff baby this evenin'
Gotta have some hot stuff
Gotta have some love tonight


Hot stuff
Baby, baby
Baby, baby 

I need hot stuff
Baby, baby
Baby, baby 

I want some hot stuff
Baby, baby
Baby, baby 

I need hot stuff
Baby, baby
Baby, baby 



Baby, baby
Baby, baby 

Baby, baby
Baby, baby 

Baby, baby
Baby, baby 

Baby, baby
Baby, baby 



Lookin' for a lover who needs another
Don't want another night on my own
Wanna share my love with a warm blooded lover
Wanna bring a wild man back home


Gotta have some hot love baby this evenin'
I need some hot stuff baby tonight
I want some hot stuff baby this evenin'
Got to have some lovin'
Got to have love tonight


Hot stuff
Baby, baby
Baby, baby 

I need hot stuff
Baby, baby
Baby, baby 

I want some hot stuff
Baby, baby
Baby, baby 

I need hot stuff
Baby, baby
Baby, baby 

Looking for some hot stuff
Baby, baby
Baby, baby 

I need some hot stuff
Baby, baby
Baby, baby 

Looking for some hot stuff
Baby, baby
Baby, baby 

I need some hot stuff
Baby, baby
Baby, baby 
"
62,"I had a dream
We were sipping whiskey neat
Highest floor, The Bowery
And nowhere's high enough
Somewhere along the lines
We stopped seeing eye to eye
You were staying out all night
And I had enough


No, I don't wanna know
Where you been or where you're going
But I know I won't be home
And you'll be on your own


Who's gonna walk you
Through the dark side of the morning?
Who's gonna rock you
When the sun won't let you sleep?
Who's waking up to drive you home
When you're drunk and all alone?
Who's gonna walk you
Through the dark side of the morning?
[Drop: 
Selena Gomez
, Vin Diesel & Kygo]
It ain't me
The Bowery, whiskey neat...
It ain't me
Now I'm free, girl
And I moved on
It ain't me
The Bowery, whiskey neat...


It ain't me


It ain't me, girl
It ain't me
It ain't me
The Bowery, whiskey neat...


It ain't me, girl


It ain't me
It ain't me
The Bowery, whiskey neat...
Who's gonna walk you


Who's gonna walk you


It ain't me


I had a dream
We were back to seventeen
Summer nights and The Libertines
Never growing up
I'll take with me
The polaroids and the memories
But you know I'm gonna leave
Behind the worst of us


Who's gonna walk you
Through the dark side of the morning?
Who's gonna rock you 

When the sun won't let you sleep?
Who's waking up to drive you home
When you're drunk and all alone?
Who's gonna walk you
Through the dark side of the morning?


It ain't me, no no
It ain't me, no no
It ain't me, no no
Who's gonna walk you through the dark side of the morning?
It ain't me
The Bowery, whiskey neat...
It ain't me
It ain't me
It ain't me
The Bowery, whiskey neat...
Who's gonna walk you
Who's gonna walk you through the dark side of the morning?
The Bowery, whiskey neat...
It ain't me
It ain't me
It ain't me
The Bowery, whiskey neat...
Now I'm free, girl
And I've moved on
It ain't me
The Bowery, whiskey neat...
It ain't me
Who's gonna walk you through the dark side of the morning?
It ain't me
The Bowery, whiskey neat...
Now, I've moved on
Now I'm free
And that ain't me
It ain't me"
63,"You must understand though the touch of your hand
Makes my pulse react
That it's only the thrill of boy meeting girl
Opposites attract
It's physical
Only logical
You must try to ignore that it means more than that


Oh, what's love got to do, got to do with it?
What's love but a second-hand emotion?
What's love got to do, got to do with it?
Who needs a heart when a heart can be broken?
Oh, what's love got to do, got to do with it?
What's love but a second-hand emo—
What's love got to do, got to do with it?
Who needs a heart when a heart can be broken?


What's love got to do, got to do with it?
What's love but a second-hand emo—
What's love got to do, got to do with it?
Who needs a heart when a heart can be broken?


It may seem to you that I'm acting confused
When you're close to me
If I tend to look dazed I've read it someplace
I've got cause to be
There's a name for it
There's a phrase that fits
But whatever the reason you do it for me


Oh, what's love got to do, got to do with it?
What's love but a second-hand emotion?
What's love got to do, got to do with it?
Who needs a heart when a heart can be broken?
Oh, what's love got to do, got to do with it?
What's love but a second-hand emotion?
What's love got to do, got to do with it?
Who needs a heart when a heart can be broken?


What's love got to do, got to do with it?
What's love but a second-hand emo—
What's love got to do, got to do with it?
Who needs a heart when a heart can be broken?


Oh, what's love?
What's love? Oh"
64,"You just, you made it look easy
It's like you didn't feel it
Not like I do
I followed, I followed the pieces
I tried to receive it
To when it was good


Oh look, I don't wanna feel like somebody
While nothing else ever feels like your body
'Cause we held the world, we were turning it
For a moment there, it was permanent
I drive the streets when you told me your secrets
We made mistakes, but we both we didn't mean it
And we held the world, we were turning it
For a moment there, it was permanent 





I'll bet, I'll bet you're in Seoul
Dancing in slow-mo
With someone new, oh
I cared, I, I hope you'll never forget it
The night's just too weary
Like all your tattoos


Oh look, I don't wanna feel like somebody
While nothing else ever feels like your body
'Cause we held the world, we were turning it
For a moment there, it was permanent
I drive the streets when you told me your secrets
We made mistakes, but we both we didn't mean it
And we held the world, we were turning it
For a moment there, it was permanent 





I drive the streets when you told me your secrets
We made mistakes, but we both we didn't mean it
And we held the world, we were turning it
For a moment there, it was permanent"
65,"When you're falling backwards and no one's catching ya
When your heart just shatters, too many pieces to pick it up
You keep finding a way, just to live alone
Nothing to say, staring at your phone
And your life is going numb 



Don't give up on love when it doesn't work out the first time
Close your eyes and trust that you gotta get low to get high
The world's full of second chances, you gotta keep on dancing
Don't give up, don't give up, don't give up on love
Don't give up, don't give up, don't give up on love


If it doesn't work out the first time
G-Gotta get low to get high
If it doesn't work out the first time
Don't give up on love
If it doesn't work out the first time
G-Gotta get low to get high
If it doesn't work out the first time
Don't give up on love


Livin' underwater and you can't catch your breath
Driftin' farther, almost off the edge
You keep thinking about all the better days
Spiraling out, wishing it would change
Smiling through the pain 



Don't give up on love when it doesn't work out the first time
Close your eyes and trust that you gotta get low to get high
The world's full of second chances, you gotta keep on dancing
Don't give up, don't give up, don't give up on love
Don't give up, don't give up, don't give up on love


If it doesn't work out the first time
G-Gotta get low to get high
If it doesn't work out the first time
Don't give up on love
If it doesn't work out the first time
G-Gotta get low to get high
If it doesn't work out the first time
Don't give up on love


Don't give up on love 
 when it doesn't work out the first time 

Close your eyes and trust that you gotta get low to get high 

The world's full of second chances 
, you gotta keep on dancing 

Don't give up, don't give up, don't give up on love


If it doesn't work out the first time
G-Gotta get low to get high
If it doesn't work out the first time
Don't give up on love
If it doesn't work out the first time
G-Gotta get low to get high
If it doesn't work out the first time
Don't give up on love"
66,"We were lovers for the first time
Running all the red lights
The middle finger was our peace sign, yeah
We were sipping on emotions
Smoking and inhaling every moment
It was reckless and we owned it, yeah, yeah


We were high and we were sober
We were on and we were over
We were young and now I'm older
But I'd do it all again


Getting drunk on a train track
Way back, when we tried our first cigarettes 

Ten dollars was a fat stack
I'd do it all again 

Bomber jacket and a snapback
Your dad's black Honda was a Maybach 

""Re: Stacks"" on the playback
I'd do it all again 



Stack stack, stack stack, oh oh...
Speed speed, speed speed oh oh...
Stack stack, stack stack, oh oh...
Stack stack, stack stack, oh oh...
Stack stack, stack stack, oh oh...
Speed speed, speed speed oh oh...
Stack stack, stack stack, oh oh...
Stack stack, stack stack, oh oh...
Stack stack, stack stack, oh oh...
Speed speed, speed speed oh oh...
Stack stack, stack stack, oh oh...
I'd do it all again


We were lovers on a wild ride
Speeding for the finish line
Come until the end of our time, yeah
Started off as a wildfire
Burning down the bridges to our empire
Our love was something they could admire, yeah, yeah


We were high and we were sober
We were on and we were over
We were young and now I'm older
But I'd do it all again


Getting drunk on a train track
Way back, when we tried our first cigarettes 

Ten dollars was a fat stack
I'd do it all again 

Bomber jacket and a snapback
Your dad's black Honda was a Maybach 

Re: Stacks on the playback
I'd do it all again 



Stack stack, stack stack, oh oh...
Speed speed, speed speed oh oh...
Stack stack, stack stack, oh oh...
Stack stack, stack stack, oh oh...
Stack stack, stack stack, oh oh...
Speed speed, speed speed oh oh...
Stack stack, stack stack, oh oh...
Stack stack, stack stack, oh oh...
Stack stack, stack stack, oh oh...
Speed speed, speed speed oh oh...
Stack stack, stack stack, oh oh...
I'd do it all again
Stack stack, stack stack, oh oh...
Speed speed, speed speed oh oh...
Stack stack, stack stack, oh oh...
Stack stack, stack stack, oh oh...
Stack stack, stack stack, oh oh...
Speed speed, speed speed oh oh...
I'd do it all again
Stack stack, stack stack, oh oh...
Speed speed, speed speed oh oh...
Stack stack, stack stack, oh oh...
Stack stack, stack stack, oh oh...
Stack stack, stack stack, oh oh...
Speed speed, speed speed oh oh...
I'd do it all again"
67,"We were lovers for the first time
Running all the red lights
The middle finger was our peace sign, yeah
We were sipping on emotions
Smoking and inhaling every moment
It was reckless and we owned it, yeah, yeah


We were high and we were sober
We were on and we were over
We were young and now I'm older
But I'd do it all again


Getting drunk on a train track
Way back, when we tried our first cigarettes 

Ten dollars was a fat stack
I'd do it all again 

Bomber jacket and a snapback
Your dad's black Honda was a Maybach 

""Re: Stacks"" on the playback
I'd do it all again 



We were lovers on a wild ride
Speeding for the finish line
Come until the end of our time, yeah
Started off as a wildfire
Burning down the bridges to our empire
Our love was something they could admire, yeah, yeah


We were high and we were sober
We were on and we were over
We were young and now I'm older
But I'd do it all again


Getting drunk on a train track
Way back, when we tried our first cigarettes 

Ten dollars was a fat stack
I'd do it all again 

Bomber jacket and a snapback
Your dad's black Honda was a Maybach 

Re: Stacks on the playback
I'd do it all again 



Stack stack, stack stack, oh oh...
Speed speed, speed speed oh oh...
Stack stack, stack stack, oh oh...
Stack stack, stack stack, oh oh...
Stack stack, stack stack, oh oh...
Speed speed, speed speed oh oh...
Stack stack, stack stack, oh oh...
Stack stack, stack stack, oh oh...
Stack stack, stack stack, oh oh...
Speed speed, speed speed oh oh...
Stack stack, stack stack, oh oh...
Stack stack, stack stack..."
68,"Family


I know water that's thicker than blood
That's deeper than love with my friends
People come and some people go
And some people ride 'til the end


When I am blind, in my mind
I swear they'd be my rescue, my lifeline
I don't know what I'd do if I, if I'd survive
My brothers and my sisters in my life, yeah


I know some people, they would die for me
We run together, they're my family
When I get up, they gon' be high with me
I'll say forever, my family


Family
I'll say forever, my family
I'll say forever, my family


Stolen dreams took our, our childish days
Still, ain't nothin' changed, now we're grown
We're still young, still got our mindless ways
In a timeless phase, kickin' stones


When I am blind, in my mind
I swear they'd be my rescue, my lifeline
I don't know what I'd do if I, if I'd survive
My brothers and my sisters in my life, yeah


I know some people, they would die for me 

We run together, they're my family
When I get up, they gon' be high with me 

I'll say forever, my family


Family
I'll say forever, my family
Family
I'll say forever, my family
Family
I'll say forever, my family"
69,"Walking alone and the shores are longing
I miss your footprints next to mine
Sure as the waves on the sand are washing
Your rhythm keeps my heart in time


You, you found me
Made me into something new
Led me through the deepest waters
I promise loud to carry on for you


I'll carry on for you
To carry on for you


Carry on for you
I'll carry on for you
Carry on for you


Talk to the wind on the open ocean
I wonder if you hear me too?
Wrapped in my arms with every moment, yeah
The memories that pull me through


You, you found me
Made me into something new 

Led me through the deepest waters
I promise loud to carry on to you 



I'll carry on for you
To carry on for you
I'll carry on for you
To carry on for you


Carry on for you
I'll carry on for you
Carry on for you"
70,"



Walking alone and the shores are longing
I miss your footprints next to mine
Sure as the waves on the sand are washing
Your rhythm keeps my heart in time


You, you found me
Made me into something new
Led me through the deepest water
I promise, love, to carry on for you


I, I'll carry on for you


Spoke to the wind on the open ocean
I wonder if you hear me too?
Wrapped in my arms with every moment
The memories that pull me through


You, you found me
Made me into something new
Led me through the deepest water
I promise, love, to carry on for you
[Post-Chorus: Dua Lipa & 
Charlie Puth
]
You, to carry on for you, for you
You
I will carry on for you


You, you found me
Made me into something new
Led me through the deepest water
I promise, love, to carry on for you


You, you found me
Made me into something new
Led me through the deepest water
I promise, love, to carry on for you

]
You, to carry on for you, for you
You, to carry on for you, for you
I'll carry on for you 



Led me deep through the water, carry on for you


I'll carry on for you"
71,"Boom the beat goes, everywhere that we go
Life is one big party anyway

 great adventure
Facin' all that danger
Playin' truth or dare like every day


The world's a playground, while
The falls on rainclouds, ca-
-rousels on fair grounds
We love the ride
Confetti rain down
We gonna play now
We got them fireworks
The bang inside


Call your mother
Tell your father
We won't be home for supper
So don't wait up
Grab a lover
Hold each other
Tonight, we going harder
So turn it up


'Cause we are young
The only rule is to have fun
We play all day under the sun
We get no trouble, do no run
We-we are young
'Cause we are young
The only rule is to have fun
We play all day under the sun
We get no trouble, do no run
We-we are young


Sweet temptation, re-imagination
There's no sleep for the restless anyway
You be play at night, cuffin' me in light bright
Won't let this moment go away


The world's a playground, while
The falls on rainclouds, ca-
-rousels on fair grounds
We love the ride
Confetti rain down
We gonna play now
We got them fireworks
The bang inside


Call your mother
Tell your father
We won't be home for supper
So don't wait up
Grab a lover
Hold each other
Tonight, we going harder
So turn it up 



'Cause we are young
The only rule is to have fun
We play all day under the sun
We get no trouble, do no run
We-we are young
'Cause we are young
The only rule is to have fun
We play all day under the sun
We get no trouble, do no run
We-we are young
'Cause we are young
The only rule is to have fun
We play all day under the sun
We get no trouble, do no run
We-we are young"
72,"I'm trying, but I'm finding it hard to speak
It's like your eyes have been designed to just cut through me
When you heal me, I still feel like I'm going to bleed
And I know that you know that
I just thought I should own it


Oh, loving me can be a burden
When my heart is freezing
I need you to burn it
Oh, I guess I'm just a fucked up person
The only time I'm feeling


Is only when I'm hurting
Only when I'm hurting
Is only when I'm hurting
Only when I'm hurting


Now it's heavy under the light of this empty street
And you're hating the parts you used to love about me
I pull you into my arms, but you're still out of reach
And I know that you notice
I won't blame you for going


Oh, loving me can be a burden
When my heart is freezing
I need you to burn it
Oh, I guess I'm just a fucked up person
The only time I'm feeling


Is only when I'm hurting
Only when I'm hurting
Is only when I'm hurting
Only when I'm hurting


And I know that you're going out of your mind
But I can't love, no, I can't love


Oh, loving me can be a burden
When my heart is freezing
I need you to burn it
Oh, I guess I'm just a fucked up person
The only time I'm feeling


Is only when I'm hurting
Only when I'm hurting
Is only when I'm hurting
Only when I'm hurting


Is only when I'm hurting
Only when I'm hurting"
73,"Emotions like summer
We'll wait for a blue sky
And I turn and hold you
As we watch the sunrise
'Cause this is amazing
Running wild with you
My thoughts are hazy
This may be way too soon


But I will never let you go
Never let you go, oh no
I will never let you go
Never let you go, no oh
Nah, no, no, no 

No, no, ooh


I'm so lost in these summer nights
So lost in your crystal light
And even when this night is day
I won't regret the words I'm saying


Yeah, I will never let you go
Never let you go, oh no
I will never let you go
Never let you go, no oh
Nah, no, no, no 

No, no, ooh


Through the longest of time, I will never let you go


If we fall off down the line, I will always keep a hold


Through the longest of time, I will never let you go


Oh, no, If we fall off down the line, I will always keep a hold
Yeah, no, no
Never let you go, yeah


I will never let you go
Never let you go, oh no!
I will never let you go
Never let you go, no oh
Yeah 

Woah, no, no 



I will never let you go
Never let you go, no, no, no
I will never let you go
Never let you go, no, no, no"
74,"This is our last goodbye
Don't come and find me
So hard to see you cry
Please, somebody blind me
'Cause I can feel it
I'm still lagging onto every word
My heart is beating
And I'm sorry that I left you hurt


We were kids in love
And then we grew up
But won't you hold me close tonight
Like we're kids in love?
Kids in love
Kids in love
Kids in love


We were kids in love
We were kids in love
Kids in love
Kids in love
Kids in love
We were kids in love


Engine on, in the drive
Running for hours
Slowly, we twist the knife in
Folding like towers
And I can feel it
And we're running out of hope tonight
I hear you breathing
As we're hanging on to you and I, oh


We were kids in love
And then we grew up
But won't you hold me close tonight
Like we're kids in love?
Kids in love
Kids in love
Kids in love


We were kids in love
We were kids in love
Kids in love
Kids in love
Kids in love
We were kids in love"
75,"I love you more than money
Love more than dope
Now I got a temper
But if it came down to it
Up against the ropes
I'll be in your corner


Gonna just come out and say it
I think both of us are crazy
But I love you anyhow
It's just how we get down
One of us lost and the other is found
I found myself a partner
Even though it's getting darker
If you feel like hope is gone
We can make it 'till dawn
Baby, we just gotta keep holding on


Don't let me go, don't let me go
I can't take it
'Cause I got to be the one that's riding shotgun
You know that I'm your ride or die
So quit thinking
'Cause I got to be the one that's riding shotgun




'Cause I got to be the one that's riding shotgun


I hate your taste in music
Hate it when you smoke
But your kiss is fire
And if I said I'd leave you
If I said it goes
Then I'd be a liar


Gonna just come out and say it
I think both of us are crazy
But I love you anyhow
It's just how we get down
One of us lost and the other is found
I found myself a partner
Even though it's getting darker
If you feel like hope is gone
We can make it 'till dawn
Baby, we just gotta keep holding on


Don't let me go, don't let me go
I can't take it
'Cause I got to be the one that's riding shotgun
You know that I'm your ride or die
So quit thinking
'Cause I got to be the one that's riding shotgun


'Cause I got to be the one that's riding shotgun
'Cause I got to be the one that's riding shotgun


You can't let me go
I'm your radio
Keep on turning me up
Oh, you can't let me go
I'm your radio
Keep on turning me up
'Cause I got to be the one that's riding shotgun"
76,"Kygo
Divas & Dancers - EP
Tracklist:
1. I'm Coming Out - w/ Diana Ross
2. Higher Love - w/ Whitney Houston
3. Hot Stuff - w/ Donna Summer
4. Whats Love Got to Do with it - w/ Tina Turner
5. Daddy Cool - w/ Boney M
6. If I Could Turn Back Time - w/ Cher"
77,"Emotions like summer
We'll wait for a blue sky
And I turn and hold you
As we watch the sunrise
'Cause this is amazing
Running wild with you
My thoughts are hazy
This may be way too soon


But I will never let you go
Never let you go, oh no
I will never let you go
Never let you go, no oh


I will...
But I will never let you go
Never let you go, oh no
I will never let you go
Never let you go, no oh


I'm so lost in these summer nights
So lost in your crystal light
And even when this night is day
I won't regret the words I'm saying


But I will never let you go
Never let you go, oh no
I will never let you go
Never let you go, no oh


I will...
But I will never let you go
Never let you go, oh no
I will never let you go
Never let you go, no oh


Through the longest of time, I will never let you go


If we fall off down the line, I will always keep a hold, oh-no
But I will never let you go
Never let you go, oh no!
I will never let you go
Never let you go, no oh
I will..."
78,"You're saying it's hopeless, that I should hope less
Heaven can help us, well maybe ""she"" might
You say it's beyond us, what is beyond us?
Let's see and decide
We've been meteoric, even before this
Burns half as long when it's twice as bright
So if it's beyond us, then it's beyond us
Let's see and decide
And I will still be here, stargazing
I'll still look up, look up
Look up for love
I will still be here, stargazing
I'll still look up, look up
Look up for love
Look up for love
Look up for love
Look up for love
I'll still look up, look up
Look up for love
Don't you, give up, for me
Don't fall, don't give up, for love
That's how I find the light
Don't you, give up, for me Don't fall, don't give up, for love
Stargazing
I'm trying to save us, you don't wanna save us
You blame human nature, and say it's unkind
Let's make up our own minds, we've got our whole lives
Let's see and decide, decide
And I will still be here, stargazing
I'll still look up, look up
Look up for love
Stars don't disappear, they keep blazing
Even when the night is over
And I will still be here, stargazing
I'll still look up, look up
Look up for love
Stars don't disappear, they keep blazing
Even when the night is over
That's how I find the light
Don't you, give up, for me
Don't fall, don't give up, for love
That's how I find the light
Don't you, give up, for me 

Don't fall, don't give up, for love
Stargazing"
79,"Hm
Oh, yeah


I was lost in low
Just tryna mend my broken heart
I gave to someone else
Take him alone
I knew that I was wrong
It hit me like I never felt


Need something to bring me back to
I think it's you, feeling brand new
I know I can't live without you
Live without you, but I don't want to


Can you take my heart?
And show me how to love yeah
I just wanna learn to love again
Can you take my heart?
And show me how to love yeah
I just wanna learn to love again


Show me how to love
Show me how to love
I just wanna learn to
Show me how to love
Show me how to love
I just wanna learn to


I was lost in low
Just tryna mend my broken heart

 I gave to someone else
Take him alone
I knew that I was wrong
It hit me like I never felt


Need something to bring me back to
I think it's you, feeling brand new
I know I can't live without you
Live without you, but I don't want to


Can you take my heart?
And show me how to love yeah
I just wanna learn to love again
Can you take my heart?
And show me how to love yeah
I just wanna learn to love again


Show me how to love
Show me how to love
I just wanna learn to
Show me how to love
Show me how to love
I just wanna learn to
Show me how to love
Show me how to love
I just wanna learn to"
80,"Is it alright if I come round? Is it too late if I come now?
Would you stay up to figure this out some way?
If I stay here would you come back? If I stay cool would you be mad?
Would you want me if I want you that way?


Cause all I can think about is coming over, coming over
All I can think about is coming over, coming over
All I can think about is coming over, coming over


Isn't it strange that every time I look at your name I'm suddenly high?
For you to feel the same I would do almost anything
I'd give away this, give away that, all of my shoes and all of my hats
All I need's you and a bit of music


Cause all I can think about is coming over, coming over
All I can think about is coming over, coming over
All I can think about is coming over, coming over
Isn't it strange? Isn't it strange?
Isn't it strange? Isn't it strange?"
81,"Fear that look in your eyes
A kick drum bumping your chest
Just keep hurling the lies
Do it like how you do best
You're gonna fade in wide
I'd rather be want instead
Just keep pushing it high
Higher than we've ever been, oh


Oh-oh-oh-oh-oh-oh-oh-oh


So, so good
Oh, so good for me
This right here, in the moment we are free
There's magic in the souls
When we let it go 

Feels so good
So, so good
Oh, so good for me


(So good, so good
So, so good
So, so-so good, so good
Oh yeah
So good, so good
So, so good
So, so-so good, so good
Oh yeah
So good, so good
So, so good
So, so-so good, so good
Oh yeah)


Always give 'em a surprise
Don't you give them no way
Just get lost in the night
It's the moment we have left
Y'all know we did it right
I'd rather be want instead
Just keep pushing it high
Higher than we ever been


Oh-oh-oh-oh-oh-oh-oh-oh


So, so good
Oh, so good for me
This right here, in the moment we are free
There's magic in the souls
When we let it go 

Feels so good
So, so good
Oh, so good for me


(So good, so good
So, so good
So, so-so good, so good
Oh yeah
So good, so good
So, so good
So, so-so good, so good
Oh yeah
So good, so good
So, so good
So, so-so good, so good
Oh yeah)


We don't have to fear today
Let's wash the fears away
Let the hesitation fades
Watch the roof go up in flames
And as the flame begin to rise
We will never compromise
Where are stars up in the sky
All we need's a chance to shine


(So good, so good
So, so good
So, so-so good, so good
Oh yeah
So good, so good
So, so good
So, so-so good, so good
Oh yeah
So good, so good
So, so good
So, so-so good, so good
Oh yeah)"
82,"I can't be whatever you want
You can't see all of me at once


All your good intentions, the benefit of the doubt
If you wanted perfection, then I'm gonna let you down


Ooh-ooh
Don't wanna waste your time
Too late to hide from you
I am the warning sign
You keep on driving through
Well, how long?
How long 'til it's too much for you?
Don't wanna waste your time
I am the warning sign


Warning, warning oh yeah
Warning, warning oh yeah
Warning, warning oh yeah
Warning, warning oh yeah
Warning, warning oh yeah
Warning, warning oh yeah
Warning, warning oh yeah


You can't be whatever you want
I won't leave, you're always enough
Oh


All your good intentions, the benefit of the doubt
If you wanted perfection, then I'm gonna let you down


Ooh-ooh
Don't wanna waste your time
Too late to hide from you
I am the warning sign
You keep on driving through
Well, how long?
How long 'til it's too much for you?
Don't wanna waste your time
I am the warning sign


Warning, warning oh yeah
Warning, warning oh yeah
Warning, warning oh yeah
Warning, warning oh yeah
Warning, warning oh yeah
Warning, warning oh yeah
Warning, warning oh yeah"
83,"This is our last goodbye
Don't come and find me
So hard to see you cry
Please, somebody blind me


'Cause I can feel it
I'm still lagging onto every word
My heart is beating
And I'm sorry that I left you hurt


We were kids in love
And then we grew up
But won't you hold me close tonight
Like we're kids in love?
Kids in love
Kids in love
Kids in love




We were kids in love


Engine on, in the drive
Running for hours
Slowly, we twist the knife in
Folding like towers


And I can feel it
And we're running out of hope tonight
I hear you breathing
As we're hanging on to you and I, oh


We were kids in love
And then we grew up
But won't you hold me close tonight
Like we're kids in love?
Kids in love
Kids in love
Kids in love
[Break: 
The Night Game
 & Maja Francis]
Maybe I could cope if I could hold you
We were kids in love
One last time
One last time
And wherever you go, I'll just hold you forever
Maybe I could cope if I could hold you
Kids in love
Kids in love
Kids in love"
